run,mode,duration_s,final_pos_err_m,max_pos_err_m,mean_pos_err_m,final_vel_err_m_s,max_vel_err_m_s,final_err_N_m,final_err_E_m,final_err_D_m
run2,operational,393.9000000000233,1445.3820300473863,1445.3820300473863,417.88461145887084,8.429592920459093,8.429592920459093,-1152.2803045271366,-870.2009967836061,64.2614797493112
run2,diagnostic_ref_rp,393.9000000000233,1216.4649901342914,1216.4649901342914,299.5158269602902,7.209051295234386,8.046101527247915,-1100.2200293840906,516.681432381262,48.4071957144821
run3,operational,296.9000000000233,168.1861304301759,168.1861304301759,103.94589502897267,2.09614691238563,2.09614691238563,-51.489251767877505,159.48985675547368,-14.086057417842055
run3,diagnostic_ref_rp,296.9000000000233,970.4770355976534,970.4770355976534,307.7297310486738,7.770654617138403,7.770654617138403,-868.1829821494696,433.41678449340725,-15.293039196257894
run4,operational,234.90000000002328,925.8543973419823,925.8543973419823,252.64061830376576,7.860705122659288,8.08729626287371,-823.2785790904027,-410.9095418964537,102.82069182231493
run4,diagnostic_ref_rp,234.90000000002328,1799.7276467910308,1799.7276467910308,539.7846236352511,15.586360852103963,15.586360852103963,-1739.1806696586154,-450.22824947305094,107.5394080615232
