GPSTime,X-ECEF,Y-ECEF,Z-ECEF,VX-ECEF,VY-ECEF,VZ-ECEF
373098.000000,3509426.446849,779142.847110,5250998.314211,0.000000,0.000000,0.000000
373098.010000,3509426.446850,779142.847110,5250998.314212,0.000078,-0.000047,0.000046
373098.020000,3509426.446850,779142.847109,5250998.314212,0.000003,-0.000055,-0.000003
373098.030000,3509426.446849,779142.847109,5250998.314212,-0.000124,0.000019,-0.000043
373098.040000,3509426.446848,779142.847109,5250998.314212,-0.000114,-0.000022,0.000055
373098.050000,3509426.446847,779142.847109,5250998.314212,-0.000134,0.000153,0.000027
373098.060000,3509426.446844,779142.847112,5250998.314212,-0.000380,0.000311,-0.000046
373098.070000,3509426.446841,779142.847114,5250998.314212,-0.000278,0.000225,-0.000027
373098.080000,3509426.446838,779142.847117,5250998.314211,-0.000311,0.000308,-0.000072
373098.090000,3509426.446835,779142.847120,5250998.314210,-0.000372,0.000280,-0.000107
373098.100000,3509426.446831,779142.847123,5250998.314209,-0.000348,0.000257,-0.000141
373098.110000,3509426.446828,779142.847126,5250998.314208,-0.000298,0.000290,-0.000080
373098.120000,3509426.446824,779142.847129,5250998.314207,-0.000471,0.000315,-0.000082
373098.130000,3509426.446819,779142.847131,5250998.314206,-0.000528,0.000205,-0.000090
373098.140000,3509426.446814,779142.847134,5250998.314205,-0.000457,0.000352,-0.000077
373098.150000,3509426.446809,779142.847138,5250998.314205,-0.000498,0.000379,-0.000050
373098.160000,3509426.446804,779142.847142,5250998.314204,-0.000517,0.000410,-0.000004
373098.170000,3509426.446799,779142.847146,5250998.314205,-0.000446,0.000462,0.000055
373098.180000,3509426.446795,779142.847151,5250998.314205,-0.000493,0.000596,0.000008
373098.190000,3509426.446790,779142.847157,5250998.314205,-0.000560,0.000616,-0.000003
373098.200000,3509426.446784,779142.847164,5250998.314206,-0.000558,0.000643,0.000114
373098.210000,3509426.446778,779142.847171,5250998.314207,-0.000656,0.000796,0.000180
373098.220000,3509426.446771,779142.847179,5250998.314208,-0.000747,0.000793,0.000064
373098.230000,3509426.446763,779142.847187,5250998.314210,-0.000772,0.000826,0.000214
373098.240000,3509426.446755,779142.847195,5250998.314212,-0.000921,0.000772,0.000282
373098.250000,3509426.446745,779142.847202,5250998.314215,-0.001103,0.000677,0.000246
373098.260000,3509426.446734,779142.847209,5250998.314218,-0.001003,0.000693,0.000316
