Run,Quantity,Mean,Std,Min,Max,Unit
run2,AccBiasX,-0.0032155510427641187,0.00032264952619633183,-0.00364663,-0.00272477,m/s^2
run2,AccBiasY,0.011946172267424887,0.00014585646534343691,0.0115535,0.0121779,m/s^2
run2,AccBiasZ,0.007746800539977915,0.0018067883069263985,0.00482389,0.00978878,m/s^2
run2,GyroDriftX,0.08466697606656427,0.0007674836741313662,0.083651,0.0859235,deg/s
run2,GyroDriftY,0.07841981277846181,0.0001946976401403895,0.0779204,0.0786677,deg/s
run2,GyroDriftZ,0.2525675426943045,0.001703603892164167,0.242524,0.255833,deg/s
run3,AccBiasX,0.0024602812588201614,0.00010997884508596778,0.00224789,0.00261305,m/s^2
run3,AccBiasY,0.009156933194287734,9.499888415854828e-05,0.00897987,0.00927905,m/s^2
run3,AccBiasZ,0.006971143476869706,0.00024868513556153374,0.00641752,0.00724053,m/s^2
run3,GyroDriftX,0.07847183589026793,0.00045398879133963055,0.0778193,0.0790465,deg/s
run3,GyroDriftY,0.08421145085801857,0.00011262880447284292,0.0840657,0.0844048,deg/s
run3,GyroDriftZ,0.2580945165962176,0.00046889414144238355,0.257058,0.258859,deg/s
run4,AccBiasX,-0.00036520971437176727,0.0001559679578658441,-0.00134785,-7.7565e-05,m/s^2
run4,AccBiasY,0.026929450652391388,0.0006244638445383711,0.0255303,0.0278667,m/s^2
run4,AccBiasZ,0.0033894698932760057,0.0018022264624917297,0.000208776,0.00589768,m/s^2
run4,GyroDriftX,0.0681747570485941,0.00017717944699420515,0.0674649,0.0684618,deg/s
run4,GyroDriftY,0.07738842581681957,0.00019238898673975077,0.0770916,0.0776628,deg/s
run4,GyroDriftZ,0.2454235051616611,9.792433700000267e-05,0.245215,0.246104,deg/s
