GPSTime,X-ECEF,Y-ECEF,Z-ECEF,VX-ECEF,VY-ECEF,VZ-ECEF
373423.200000,3509420.644675,779164.506924,5250981.315612,0.000000,0.000000,0.000000
373423.210000,3509420.644675,779164.506924,5250981.315612,0.000031,-0.000019,0.000021
373423.220000,3509420.644676,779164.506924,5250981.315612,0.000146,0.000045,0.000097
373423.230000,3509420.644678,779164.506925,5250981.315613,0.000132,0.000084,0.000086
373423.240000,3509420.644679,779164.506925,5250981.315615,0.000150,0.000064,0.000157
373423.250000,3509420.644681,779164.506926,5250981.315616,0.000201,0.000056,0.000158
373423.260000,3509420.644683,779164.506926,5250981.315617,0.000224,0.000019,0.000014
373423.270000,3509420.644685,779164.506926,5250981.315617,0.000215,-0.000041,0.000049
373423.280000,3509420.644687,779164.506926,5250981.315618,0.000193,-0.000046,0.000096
373423.290000,3509420.644689,779164.506926,5250981.315618,0.000253,0.000010,-0.000022
373423.300000,3509420.644692,779164.506926,5250981.315618,0.000248,-0.000006,-0.000050
373423.310000,3509420.644694,779164.506925,5250981.315618,0.000245,-0.000092,-0.000005
373423.320000,3509420.644697,779164.506925,5250981.315617,0.000345,0.000028,-0.000049
373423.330000,3509420.644701,779164.506925,5250981.315617,0.000315,0.000028,-0.000080
373423.340000,3509420.644704,779164.506925,5250981.315616,0.000319,-0.000002,-0.000016
373423.350000,3509420.644707,779164.506925,5250981.315616,0.000416,-0.000014,-0.000019
373423.360000,3509420.644711,779164.506925,5250981.315616,0.000399,-0.000093,-0.000005
373423.370000,3509420.644715,779164.506924,5250981.315616,0.000388,-0.000082,-0.000008
373423.380000,3509420.644719,779164.506923,5250981.315616,0.000233,-0.000166,0.000103
373423.390000,3509420.644721,779164.506921,5250981.315617,0.000187,-0.000191,-0.000014
373423.400000,3509420.644722,779164.506919,5250981.315616,0.000134,-0.000106,-0.000120
373423.410000,3509420.644724,779164.506918,5250981.315615,0.000135,-0.000101,-0.000055
373423.420000,3509420.644725,779164.506917,5250981.315615,0.000169,-0.000114,0.000003
373423.430000,3509420.644727,779164.506916,5250981.315615,0.000167,-0.000133,0.000004
373423.440000,3509420.644728,779164.506915,5250981.315615,0.000177,-0.000124,0.000001
373423.450000,3509420.644730,779164.506913,5250981.315615,0.000217,-0.000176,-0.000069
373423.460000,3509420.644732,779164.506912,5250981.315613,0.000167,-0.000096,-0.000203
373423.470000,3509420.644734,779164.506911,5250981.315611,0.000130,-0.000070,-0.000309
373423.480000,3509420.644735,779164.506911,5250981.315608,0.000193,-0.000006,-0.000325
373423.490000,3509420.644738,779164.506911,5250981.315605,0.000257,0.000006,-0.000306
373423.500000,3509420.644740,779164.506911,5250981.315601,0.000201,0.000078,-0.000319
373423.510000,3509420.644742,779164.506912,5250981.315598,0.000154,0.000147,-0.000343
373423.520000,3509420.644744,779164.506913,5250981.315595,0.000277,0.000055,-0.000301
373423.530000,3509420.644747,779164.506913,5250981.315592,0.000322,-0.000037,-0.000354
373423.540000,3509420.644750,779164.506913,5250981.315588,0.000267,-0.000081,-0.000298
373423.550000,3509420.644753,779164.506912,5250981.315585,0.000266,-0.000081,-0.000355
373423.560000,3509420.644755,779164.506911,5250981.315582,0.000211,-0.000096,-0.000353
373423.570000,3509420.644757,779164.506910,5250981.315578,0.000247,-0.000117,-0.000439
373423.580000,3509420.644760,779164.506909,5250981.315574,0.000335,-0.000118,-0.000367
373423.590000,3509420.644764,779164.506908,5250981.315570,0.000413,-0.000027,-0.000399
373423.600000,3509420.644768,779164.506908,5250981.315565,0.000393,0.000002,-0.000469
373423.610000,3509420.644772,779164.506907,5250981.315561,0.000359,-0.000168,-0.000440
373423.620000,3509420.644775,779164.506906,5250981.315557,0.000401,-0.000126,-0.000371
373423.630000,3509420.644780,779164.506904,5250981.315553,0.000414,-0.000285,-0.000463
373423.640000,3509420.644783,779164.506900,5250981.315548,0.000342,-0.000412,-0.000436
373423.650000,3509420.644787,779164.506896,5250981.315544,0.000365,-0.000364,-0.000470
373423.660000,3509420.644791,779164.506893,5250981.315539,0.000419,-0.000295,-0.000480
373423.670000,3509420.644795,779164.506890,5250981.315534,0.000461,-0.000243,-0.000524
373423.680000,3509420.644800,779164.506888,5250981.315529,0.000584,-0.000264,-0.000504
373423.690000,3509420.644807,779164.506885,5250981.315524,0.000660,-0.000329,-0.000399
373423.700000,3509420.644813,779164.506881,5250981.315520,0.000674,-0.000346,-0.000441
373423.710000,3509420.644820,779164.506878,5250981.315515,0.000714,-0.000416,-0.000472
373423.720000,3509420.644827,779164.506874,5250981.315511,0.000736,-0.000380,-0.000433
373423.730000,3509420.644835,779164.506870,5250981.315506,0.000767,-0.000375,-0.000490
373423.740000,3509420.644843,779164.506866,5250981.315501,0.000772,-0.000367,-0.000561
373423.750000,3509420.644850,779164.506862,5250981.315495,0.000792,-0.000387,-0.000605
373423.760000,3509420.644859,779164.506859,5250981.315489,0.000882,-0.000288,-0.000568
373423.770000,3509420.644868,779164.506856,5250981.315483,0.000911,-0.000301,-0.000616
373423.780000,3509420.644877,779164.506853,5250981.315477,0.000908,-0.000293,-0.000672
373423.790000,3509420.644886,779164.506849,5250981.315470,0.000875,-0.000406,-0.000725
373423.800000,3509420.644895,779164.506845,5250981.315463,0.000882,-0.000443,-0.000709
373423.810000,3509420.644903,779164.506841,5250981.315455,0.000799,-0.000503,-0.000762
373423.820000,3509420.644911,779164.506835,5250981.315448,0.000741,-0.000593,-0.000713
373423.830000,3509420.644918,779164.506829,5250981.315440,0.000728,-0.000685,-0.000871
373423.840000,3509420.644925,779164.506822,5250981.315432,0.000699,-0.000711,-0.000828
373423.850000,3509420.644933,779164.506814,5250981.315424,0.000809,-0.000723,-0.000783
373423.860000,3509420.644941,779164.506807,5250981.315416,0.000920,-0.000744,-0.000728
373423.870000,3509420.644951,779164.506800,5250981.315409,0.001012,-0.000745,-0.000655
373423.880000,3509420.644960,779164.506792,5250981.315402,0.000873,-0.000826,-0.000701
373423.890000,3509420.644969,779164.506783,5250981.315396,0.000852,-0.000895,-0.000660
373423.900000,3509420.644978,779164.506775,5250981.315389,0.000963,-0.000847,-0.000662
373423.910000,3509420.644988,779164.506766,5250981.315382,0.000960,-0.000775,-0.000739
373423.920000,3509420.644997,779164.506759,5250981.315374,0.000886,-0.000716,-0.000813
373423.930000,3509420.645006,779164.506752,5250981.315366,0.000888,-0.000765,-0.000831
373423.940000,3509420.645015,779164.506744,5250981.315357,0.000853,-0.000782,-0.000930
373423.950000,3509420.645024,779164.506736,5250981.315348,0.000951,-0.000826,-0.000923
373423.960000,3509420.645033,779164.506727,5250981.315339,0.000976,-0.000891,-0.000870
373423.970000,3509420.645044,779164.506718,5250981.315330,0.001097,-0.000870,-0.000905
373423.980000,3509420.645054,779164.506710,5250981.315321,0.001038,-0.000897,-0.000959
373423.990000,3509420.645065,779164.506700,5250981.315311,0.001034,-0.000919,-0.001018
373424.000000,3509420.645075,779164.506692,5250981.315301,0.001032,-0.000821,-0.001021
373424.010000,3509420.645085,779164.506684,5250981.315290,0.001061,-0.000787,-0.001021
373424.020000,3509420.645096,779164.506676,5250981.315280,0.001016,-0.000809,-0.001011
373424.030000,3509420.645106,779164.506668,5250981.315270,0.001105,-0.000694,-0.001054
373424.040000,3509420.645118,779164.506661,5250981.315259,0.001165,-0.000813,-0.001134
373424.050000,3509420.645129,779164.506653,5250981.315247,0.001084,-0.000793,-0.001165
373424.060000,3509420.645140,779164.506644,5250981.315236,0.001031,-0.000900,-0.001182
373424.070000,3509420.645151,779164.506635,5250981.315224,0.001158,-0.000912,-0.001245
373424.080000,3509420.645162,779164.506626,5250981.315211,0.001187,-0.000853,-0.001320
373424.090000,3509420.645174,779164.506618,5250981.315198,0.001167,-0.000861,-0.001217
373424.100000,3509420.645186,779164.506610,5250981.315186,0.001231,-0.000783,-0.001205
373424.110000,3509420.645198,779164.506602,5250981.315174,0.001216,-0.000746,-0.001272
373424.120000,3509420.645210,779164.506594,5250981.315161,0.001207,-0.000761,-0.001267
373424.130000,3509420.645223,779164.506587,5250981.315149,0.001238,-0.000787,-0.001195
373424.140000,3509420.645235,779164.506579,5250981.315137,0.001253,-0.000722,-0.001222
373424.150000,3509420.645247,779164.506572,5250981.315124,0.001208,-0.000759,-0.001332
373424.160000,3509420.645260,779164.506564,5250981.315110,0.001245,-0.000795,-0.001413
373424.170000,3509420.645272,779164.506556,5250981.315096,0.001246,-0.000748,-0.001370
373424.180000,3509420.645285,779164.506549,5250981.315083,0.001320,-0.000725,-0.001306
373424.190000,3509420.645299,779164.506542,5250981.315070,0.001417,-0.000603,-0.001287
373424.200000,3509420.645313,779164.506536,5250981.315057,0.001400,-0.000543,-0.001255
373424.210000,3509420.645327,779164.506531,5250981.315044,0.001502,-0.000571,-0.001303
373424.220000,3509420.645342,779164.506525,5250981.315031,0.001537,-0.000591,-0.001368
373424.230000,3509420.645358,779164.506519,5250981.315017,0.001501,-0.000628,-0.001353
373424.240000,3509420.645373,779164.506512,5250981.315003,0.001630,-0.000701,-0.001529
373424.250000,3509420.645390,779164.506505,5250981.314987,0.001788,-0.000754,-0.001585
373424.260000,3509420.645409,779164.506497,5250981.314972,0.001901,-0.000868,-0.001523
373424.270000,3509420.645428,779164.506488,5250981.314957,0.001988,-0.000839,-0.001483
373424.280000,3509420.645448,779164.506480,5250981.314942,0.002029,-0.000867,-0.001546
373424.290000,3509420.645469,779164.506471,5250981.314926,0.002050,-0.000903,-0.001620
373424.300000,3509420.645489,779164.506462,5250981.314910,0.002069,-0.000974,-0.001540
373424.310000,3509420.645511,779164.506452,5250981.314895,0.002186,-0.000922,-0.001526
373424.320000,3509420.645532,779164.506443,5250981.314879,0.002158,-0.000979,-0.001614
373424.330000,3509420.645554,779164.506433,5250981.314863,0.002187,-0.001026,-0.001559
