GPSTime,X-ECEF,Y-ECEF,Z-ECEF,VX-ECEF,VY-ECEF,VZ-ECEF
372658.650000,3509420.531941,779147.272095,5250975.030211,0.005480,-0.008903,-0.001875
372658.660000,3509420.531996,779147.272006,5250975.030193,0.005562,-0.008900,-0.001766
372658.670000,3509420.532052,779147.271917,5250975.030175,0.005568,-0.008858,-0.001781
372658.680000,3509420.532107,779147.271828,5250975.030157,0.005537,-0.008844,-0.001771
372658.690000,3509420.532163,779147.271740,5250975.030140,0.005582,-0.008743,-0.001771
372658.700000,3509420.532219,779147.271653,5250975.030122,0.005575,-0.008684,-0.001788
372658.710000,3509420.532275,779147.271566,5250975.030104,0.005668,-0.008742,-0.001699
372658.720000,3509420.532332,779147.271479,5250975.030088,0.005699,-0.008705,-0.001684
372658.730000,3509420.532389,779147.271392,5250975.030070,0.005691,-0.008732,-0.001805
372658.740000,3509420.532445,779147.271304,5250975.030052,0.005617,-0.008757,-0.001728
372658.750000,3509420.532502,779147.271217,5250975.030035,0.005670,-0.008759,-0.001729
372658.760000,3509420.532558,779147.271130,5250975.030017,0.005577,-0.008674,-0.001819
372658.770000,3509420.532614,779147.271043,5250975.029999,0.005560,-0.008719,-0.001809
372658.780000,3509420.532670,779147.270955,5250975.029981,0.005634,-0.008731,-0.001875
372658.790000,3509420.532726,779147.270868,5250975.029962,0.005542,-0.008766,-0.001859
372658.800000,3509420.532781,779147.270780,5250975.029944,0.005640,-0.008786,-0.001819
372658.810000,3509420.532838,779147.270692,5250975.029926,0.005634,-0.008818,-0.001840
372658.820000,3509420.532895,779147.270604,5250975.029907,0.005755,-0.008851,-0.001885
372658.830000,3509420.532953,779147.270514,5250975.029888,0.005830,-0.009003,-0.001873
372658.840000,3509420.533011,779147.270425,5250975.029869,0.005850,-0.008917,-0.001883
372658.850000,3509420.533070,779147.270336,5250975.029850,0.005842,-0.008933,-0.001906
372658.860000,3509420.533128,779147.270246,5250975.029832,0.005894,-0.008973,-0.001814
372658.870000,3509420.533187,779147.270156,5250975.029814,0.005958,-0.008979,-0.001783
372658.880000,3509420.533247,779147.270066,5250975.029795,0.005878,-0.009034,-0.001894
