GPSTime,X,Y,Z
372765.0,3509379.196976309,778901.9992388273,5250694.951763405
372766.0,3509379.4834679402,778902.5658132137,5250696.010836075
372767.0,3509379.065931876,778902.8182869104,5250696.499857102
372768.0,3509462.679190826,778818.4413458866,5250630.355310202
372769.0,3509378.574871334,778903.8149539172,5250698.292756051
372770.0,3509378.524744703,778903.9959556067,5250699.060727853
372771.0,3509378.79193997,778904.0315020566,5250699.346785336
372772.0,3509379.2641597437,778904.2086957851,5250700.280230079
372773.0,3509379.9309672927,778904.4540362337,5250701.029410514
372774.0,3509380.390689004,778904.72305481,5250701.925742344
372775.0,3509381.05101398,778905.0622676786,5250702.753808112
372776.0,3509381.214389531,778905.2241166781,5250703.0294804955
372777.0,3509381.410353581,778905.5178606325,5250703.746269844
372778.0,3509381.7635656013,778905.7819602498,5250704.656707229
372779.0,3509381.8379112603,778905.9553401368,5250705.320785995
372780.0,3509381.763604281,778906.3271773035,5250706.3596845465
372781.0,3509382.078357261,778906.5708394193,5250707.11653188
372782.0,3509382.2872120133,778906.4323236126,5250707.335121412
372783.0,3509382.414793436,778906.3281204624,5250707.572635791
372784.0,3509383.0504407287,778906.361316863,5250708.067646395
372785.0,3509383.2060367074,778906.4865639459,5250708.365195369
372786.0,3509383.826688921,778906.6163569521,5250708.89144423
372787.0,3509384.0503766863,778906.9746958999,5250710.226757113
372788.0,3509384.416110668,778907.1640223877,5250711.065802201
372789.0,3509384.767912981,778907.4415411645,5250711.48716601
372790.0,3509385.0995701137,778907.719405927,5250712.241454189
372791.0,3509385.3138675014,778907.8509799861,5250712.9631411275
372792.0,3509385.490970891,778907.7813809643,5250713.003915224
372793.0,3509385.9290509373,778908.2094476874,5250714.088557863
372794.0,3509385.9153049234,778908.5341317481,5250714.7915300885
372795.0,3509386.49421188,778908.5400752184,5250715.032537925
372796.0,3509386.8056142256,778908.8371579177,5250715.230268187
372797.0,3509387.423375115,778909.0315539909,5250715.970233334
372798.0,3509387.9850037997,778909.0830372355,5250716.675068414
372799.0,3509388.2686577523,778909.2003843555,5250717.104869056
372800.0,3509388.720118738,778909.3328512018,5250718.16183608
372801.0,3509388.8930838546,778909.3517784043,5250718.900427079
372802.0,3509388.8247308233,778909.7735801792,5250720.155597141
372803.0,3509388.800773125,778910.1335824322,5250720.571897061
372804.0,3509388.923158025,778910.6577049544,5250721.771773549
372805.0,3509388.9745840267,778911.0329447181,5250722.794325783
372806.0,3509388.833782681,778911.5671419217,5250724.206963633
372807.0,3509470.363850337,778828.2095260057,5250657.090652083
372808.0,3509470.321194522,778828.1463026103,5250657.246764618
372809.0,3509470.4198315237,778828.3378207884,5250657.753184262
372810.0,3509470.6051660944,778828.5277626482,5250658.185117508
372811.0,3509470.9267329383,778828.7191730668,5250658.671551478
372812.0,3509470.994738671,778829.0253676141,5250659.160146575
372813.0,3509387.2912781523,778915.5195675914,5250729.669848861
372814.0,3509387.5895307716,778915.7641036147,5250730.166656679
372815.0,3509388.689746822,778916.2399936989,5250730.509453305
372816.0,3509472.8533655396,778831.7757996573,5250661.983701275
372817.0,3509473.2717323164,778833.1303043746,5250663.637911748
372818.0,3509473.8369540414,778834.6090713943,5250664.507241671
372819.0,3509392.3910135906,778920.0799054593,5250734.045358372
372820.0,3509392.771078553,778921.0946219333,5250734.042570657
372821.0,3509392.796524066,778922.3117219907,5250734.291209126
372822.0,3509383.0589353982,778924.0425344809,5250693.813489913
372823.0,3509393.0954637066,778925.0366309452,5250734.36276415
372824.0,3509393.2530048955,778926.5501521052,5250735.119634971
372825.0,3509393.6427411535,778927.886284257,5250735.408434623
372826.0,3509394.176869362,778929.2744420287,5250735.736664446
372827.0,3509394.3246960808,778930.6097965862,5250736.016149012
372828.0,3509394.759363996,778931.76857672,5250736.702342768
372829.0,3509395.836889636,778932.5978091845,5250736.9389057495
372830.0,3509397.042438371,778933.1834596713,5250737.352367331
372831.0,3509398.424217966,778933.3140042161,5250737.0190183455
372832.0,3509399.3828230025,778933.6590918045,5250736.927022144
372833.0,3509400.3985525034,778933.7944407228,5250737.297593949
372834.0,3509401.821403387,778933.7019447156,5250738.017354336
372835.0,3509403.3154236213,778933.5745395902,5250738.793105425
372836.0,3509403.9470955105,778933.598807979,5250737.853444099
372837.0,3509404.9561205064,778933.776621291,5250738.032184092
372838.0,3509405.981644165,778934.3083751878,5250738.705437695
372839.0,3509407.191245192,778934.246086784,5250738.036802311
372840.0,3509398.7395659736,778934.4728442057,5250697.253187811
372841.0,3509409.8608617233,778934.0449856181,5250738.672072803
372842.0,3509410.328605702,778933.1489593749,5250739.458748423
372843.0,3509410.4278264865,778932.2934980033,5250740.121795806
372844.0,3509410.768794916,778931.6359007121,5250741.215403522
372845.0,3509410.906547079,778930.685630803,5250742.100667636
372846.0,3509411.1957486724,778929.7012992096,5250743.099728135
372847.0,3509411.5658175587,778929.1082719096,5250744.518021631
372848.0,3509411.5467829546,778928.3930566646,5250745.742885708
372849.0,3509411.4901564987,778927.6277155541,5250746.5464590145
