GPSTime,X,Y,Z,VX,VY,VZ
373398.0,3509420.8141847095,779164.7508281772,5250980.706622453,-0.036337437579721195,-0.006811837764175266,-0.017158977205033565
373398.09999990463,3509420.828946386,779164.7930018004,5250980.706365915,-0.012138261491838673,0.024644466689984768,-0.007183685812975682
373398.2000000477,3509420.867169277,779164.7336694966,5250980.742091681,0.0012594252248559507,0.010577217025165453,-0.05615012936151231
373398.2999999523,3509420.8848538743,779164.6566166148,5250980.6531514125,0.04008124851817186,0.017303058426577422,0.03145065759123433
373398.40000009537,3509420.884483888,779164.6752030083,5250980.659213471,0.0752036031218865,0.01901163979870546,0.07061613230035135
373398.5,3509420.9024232496,779164.6644669133,5250980.60619201,0.023251841186093684,-0.023226540936278184,-0.01468907486468396
373398.59999990463,3509420.9602921926,779164.65115746,5250980.676014678,-0.03430176705405748,-0.060106631437285785,-0.0873774566523462
373398.7000000477,3509420.864026792,779164.6451874934,5250980.550763585,-0.025567949836621987,-0.055608160947329566,-0.1136671564305427
373398.7999999523,3509420.7769479714,779164.6397863491,5250980.493069969,0.03332658556785461,0.006525385869707634,-0.015135615288594195
373398.90000009537,3509420.779787553,779164.6753640249,5250980.579242195,0.04860672908916634,0.05176559230125122,0.06129021921621103
373399.0,3509420.7927548536,779164.7217657149,5250980.621577438,-0.008100812257136391,0.016313663404417866,0.012625469348320095
373399.09999990463,3509420.79309607,779164.727060772,5250980.614017762,-0.02954254400356839,-0.00555067302813228,-0.019814787811402113
373399.2000000477,3509420.685297455,779164.7287401952,5250980.557957063,0.009728906105765522,0.0009552625190423214,0.0009722052777512147
373399.2999999523,3509420.777534212,779164.7911932546,5250980.692578439,0.005112539493327484,-0.01662223843705135,-0.009430502015034037
373399.40000009537,3509420.86853004,779164.8065752771,5250980.7514291005,-0.012551662737719523,-0.020364307591918873,0.005107591911160725
373399.5,3509420.8390448964,779164.8215596438,5250980.798271393,-0.010945419144978156,-0.02061963663378208,-0.028428583409819908
373399.59999990463,3509420.879283645,779164.7643732226,5250980.702140234,-0.017735441237052695,-0.005955044435296486,-0.05226538169555006
373399.7000000477,3509420.8178930106,779164.7074164209,5250980.634956429,-0.010993341313069187,0.030124848626179812,0.00760789059978606
373399.7999999523,3509420.831796684,779164.6136735142,5250980.660411085,0.008373303741477958,0.0391632934260997,0.061999108757288646
373399.90000009537,3509420.907318425,779164.5728050763,5250980.647222215,0.0009650994332208309,-0.02659216591152358,-0.0014934234162229387
373400.0,3509421.0082088048,779164.6455404693,5250980.690481565,0.013480773298800042,-0.04536941788278881,-0.04094569807078585
373400.09999990463,3509421.0100097065,779164.5865294831,5250980.596465225,0.013637095082467377,-0.007383349502504188,-0.0053995315909940444
373400.2000000477,3509421.082114208,779164.5964149394,5250980.746482302,-0.030820826171341454,0.0005521779277657402,-0.04966595397790741
373400.2999999523,3509421.060412523,779164.6401008111,5250980.874916896,-0.020247435214439582,0.010032671871051946,-0.02582726073542041
373400.40000009537,3509421.09081482,779164.5707917442,5250980.836574872,-0.0065149812206969976,-0.007692752393616331,0.006535581969504989
373400.5,3509421.1832554233,779164.5472748941,5250980.799881211,-0.012222539843018555,0.016042664248779204,0.022711153085049673
373400.59999990463,3509421.1957106907,779164.4783359682,5250980.746393909,-0.005460320404977742,0.031417427154082134,0.03424808871404039
373400.7000000477,3509421.231142578,779164.450958678,5250980.7704332555,0.0034927847803776363,-0.012474378334879077,-0.010380394750413302
373400.7999999523,3509421.243255693,779164.4572703522,5250980.798765232,-0.018488892736579995,0.0006512024809026684,-0.014569808503981818
373400.90000009537,3509421.2706673485,779164.4725764684,5250980.919168953,-0.03215146711775372,0.0012711716066888812,-0.012352534040729779
373401.0,3509421.316855801,779164.4838098004,5250980.988337759,0.0003601912915172301,-0.017337318247186317,-0.0370902023381845
373401.09999990463,3509421.320892161,779164.4410612627,5250980.955682099,0.030979328430166157,-0.01411855111230409,-0.03212076979681733
373401.2000000477,3509421.3231784906,779164.4805281732,5250980.975950519,0.017889112327840507,0.0018119382895989133,0.026181151447799422
373401.2999999523,3509421.423241104,779164.505389138,5250981.046197618,-0.034625705773201454,0.02262656096003468,0.01581447117908752
373401.40000009537,3509421.404993585,779164.5170331673,5250980.884082827,-0.051834354630343915,-0.01379841085900324,-0.07215548073056688
373401.5,3509421.521625737,779164.5551271619,5250980.9894232955,0.00658783070251877,-0.024880276856883654,-0.006681777702537417
373401.59999990463,3509421.6176085756,779164.5405414536,5250981.056549749,0.030194541889190355,0.00899057297843342,0.07654958985393101
373401.7000000477,3509421.648130656,779164.5076566031,5250980.988740401,-0.005339227378581023,0.013855259586236457,0.030290694505405114
373401.7999999523,3509421.6835483243,779164.5379968612,5250981.0144309,-0.034096564451923286,-0.00505269946432918,-0.02002284602325055
373401.90000009537,3509421.6421486093,779164.4483635775,5250981.053298185,-0.024582149314947243,0.0020834486164247323,-0.02382624448260451
373402.0,3509421.627681121,779164.362480274,5250980.987741739,0.02868897861548625,-0.004268946354351044,-0.03260702677915006
373402.09999990463,3509421.695142591,779164.3311579402,5250981.070353953,0.0641749340014488,-0.026532605743724957,-0.038767149589299166
373402.2000000477,3509421.6585757476,779164.3082888521,5250981.0059508765,0.05358147432021758,-0.0247868434083216,0.008044062034358035
373402.2999999523,3509421.616848678,779164.3085977577,5250980.999741364,-0.008806986573622428,-0.00306400416767616,-0.025057414176965054
373402.40000009537,3509421.5742341806,779164.2765210617,5250980.924157432,-0.028258892060762156,0.010781327990621037,-0.03169108788776853
373402.5,3509421.6863894416,779164.2509841898,5250981.13615947,0.0019919512315929393,-0.010709360956724367,0.020873490586426513
373402.59999990463,3509421.710906025,779164.2654248993,5250981.194183498,-0.00406935387379051,-0.007932116225276786,0.0025823451656723506
373402.7000000477,3509421.679270474,779164.2275367732,5250981.009664963,-0.025185201623547385,-0.0024758338489476728,-0.037232938193957565
373402.7999999523,3509421.7498816224,779164.2206550211,5250981.2039922895,0.009312577957811378,0.00631391129228831,-0.009739738626048933
373402.90000009537,3509421.7936779615,779164.2571436435,5250981.300448706,0.052028115679115604,0.028939919503905287,0.04074572816415589
373403.0,3509421.880235171,779164.2327691832,5250981.4873786075,0.02337254220744648,0.004447014783806935,0.036067846105956036
373403.09999990463,3509421.9298033505,779164.1962067154,5250981.434096636,-0.01599556251235276,-0.04791160670634298,-0.0389828688970244
373403.2000000477,3509421.897245121,779164.1727089083,5250981.412581987,0.010241982493478505,-0.015869549044431608,-0.025638685797513716
373403.2999999523,3509421.8884815574,779164.1805114895,5250981.429223507,0.0050318565063487706,0.024423282920437828,0.009595344598047006
373403.40000009537,3509421.88615961,779164.1636998852,5250981.449606019,-0.01430547293510545,0.018769508947258373,-0.016309470471528087
373403.5,3509421.8920665155,779164.1325892753,5250981.468948528,0.02493541758735714,0.0001538318137690453,0.012955461533966428
373403.59999990463,3509421.805628824,779164.1249634207,5250981.388740572,0.041380730242637595,-0.031726893526531796,-0.0077743901022966355
373403.7000000477,3509421.782324549,779164.082043944,5250981.418256232,0.019277099901896237,-0.024403195697580315,-0.05063521674851934
373403.7999999523,3509421.789380489,779164.100230294,5250981.4491161015,0.01494760112201392,0.008083927733707696,-0.008318813383487722
373403.90000009537,3509421.737854345,779164.0591501466,5250981.431531035,0.024542134171047933,0.006479488311960324,0.04618647707989254
373404.0,3509421.714274927,779163.9925208654,5250981.337220272,0.0015021356824996034,-0.030178064378347358,-0.03024106824141448
373404.09999990463,3509421.6559031424,779163.9856594921,5250981.329058601,0.026570419717702683,-0.022597871681334425,-0.07496929036370581
373404.2000000477,3509421.783241982,779164.0105054639,5250981.5012995275,0.03180437453403757,-0.010695146636528818,-0.014519966141310903
373404.2999999523,3509421.8286206494,779163.9415207718,5250981.514615198,0.00023973130416333354,0.019963439370741298,0.061202009040215444
373404.40000009537,3509421.785447784,779163.885887083,5250981.466099039,-0.020484904456434208,0.026968990196877485,0.03717183599352758
373404.5,3509421.724301193,779163.8083998839,5250981.421383752,-0.04862284132569574,-0.01854167832760112,-0.03367961569724365
373404.59999990463,3509421.8872315004,779163.848024783,5250981.568727047,-0.019535574287304278,-0.014799051866404511,-0.03555751365131954
373404.7000000477,3509421.959750904,779163.8159323131,5250981.630345686,0.03187496607348509,0.01687833141152595,-0.006741391034106314
373404.7999999523,3509421.9705033177,779163.7155702064,5250981.641704321,0.03646221691658731,0.026101233530781087,0.05634369585264487
373404.90000009537,3509421.9907583566,779163.6823776863,5250981.573963413,0.005037227662501788,-0.010846844511604559,0.049020539280983044
373405.0,3509422.025715545,779163.7081310044,5250981.70966445,-0.027979894542043342,-0.01913731920864592,-0.028165997495268158
373405.09999990463,3509422.0453854683,779163.6949858685,5250981.757424129,-0.0479199359541722,-0.013024601093810872,-0.07017026597615406
373405.2000000477,3509422.0763691193,779163.7195548231,5250981.969982148,0.0056629813837767275,-0.010618819880178876,-0.03174532051487411
373405.2999999523,3509422.152172706,779163.641842179,5250981.950559027,0.05257596990188937,0.019986579058482334,0.016493952568687575
373405.40000009537,3509422.1936156633,779163.5997862024,5250981.832589733,0.017798981801962054,0.013921065657342524,-0.0036679517787359117
373405.5,3509422.2112659425,779163.6019094754,5250981.819768796,-0.014027475961667247,-0.02030129736513686,-0.029377721285033687
373405.59999990463,3509422.1545956847,779163.5371553479,5250981.728493222,-0.00017085726069997122,-0.017870335964161654,-0.0162372408539202
373405.7000000477,3509422.205055663,779163.5275465924,5250981.728867853,0.011895803119356967,0.0190033282548967,0.03912802745746191
373405.7999999523,3509422.176241225,779163.4858180643,5250981.520927758,-0.011105850133702229,0.0029204836397980216,0.0018602453256413298
373405.90000009537,3509422.1917886194,779163.4444277047,5250981.595398619,0.020944763761100847,-0.007912750442280014,-0.028911779776379376
373406.0,3509422.1699395794,779163.3650453532,5250981.552450481,0.03083076079089587,0.016899193203478546,-0.00019202993004618918
373406.09999990463,3509422.229905506,779163.3773359904,5250981.443648826,-0.009933830592454297,5.512184781508722e-05,-0.008876784233804003
373406.2000000477,3509422.2963355104,779163.412053737,5250981.552889759,-0.01001402939663183,-0.03919036383658181,-0.02910371883140428
373406.2999999523,3509422.423058862,779163.4702033581,5250981.741468086,-0.0026028683641299453,-0.011841025792612925,-0.025621559698743468
373406.40000009537,3509422.430282551,779163.3907039532,5250981.660465588,0.0017732457608216606,0.032422128432408215,0.02658557632288172
373406.5,3509422.468239578,779163.4093471746,5250981.805039403,0.002185611594157309,0.015144803612976432,-0.004543626795888045
373406.59999990463,3509422.471807626,779163.3696458442,5250981.879093456,0.010647630510922946,-0.03122469418114804,-0.008797465339959842
373406.7000000477,3509422.5485711433,779163.3420031948,5250981.956090785,0.0051197691120361604,-0.01562502108293984,0.030626478527468137
373406.7999999523,3509422.59204759,779163.3381483855,5250981.775414602,-0.009176948869521808,0.02636496836646529,0.006000866559178419
373406.90000009537,3509422.614972007,779163.3312489766,5250981.818226632,-0.0007167595944648365,0.0009873342894906045,-0.027491942483452547
373407.0,3509422.6356860804,779163.2743844741,5250981.917811676,-0.00902329078376935,-0.005860942774816635,-0.04035226308259965
373407.09999990463,3509422.5738652716,779163.2549021657,5250981.901356031,-0.030528685360570053,-0.004441423740630057,-0.03622510512242805
373407.2000000477,3509422.69004966,779163.2922035288,5250982.034953421,-0.015217670582863208,-0.002108086483666227,0.008103340213230226
373407.2999999523,3509422.7240864406,779163.3438121055,5250982.074584564,-0.001654374432720328,-0.003199791602916946,-0.00046960514812255383
373407.40000009537,3509422.8118713317,779163.382945754,5250982.066291601,0.024127409445307266,0.00653011970264572,0.028358217502152172
373407.5,3509422.833556023,779163.4323494601,5250981.940405129,0.03050409683243817,0.01923119178039201,0.06295327432773057
373407.59999990463,3509422.9116650224,779163.4603222971,5250981.969891321,0.0018803935337832153,-0.022964454696214887,-0.03966445346875247
373407.7000000477,3509422.884385579,779163.4827623524,5250982.032554685,0.0008769261167920788,-0.024708982643140587,-0.07376698879516042
373407.7999999523,3509422.762305874,779163.5138836196,5250981.914038221,-0.009287023128670371,0.03504384701562202,0.018581436268096496
373407.90000009537,3509422.6541170008,779163.4719047096,5250981.865904667,-0.04273658963476576,0.029889755194233203,0.02026359993238991
373408.0,3509422.5984746083,779163.4584683897,5250981.781141932,-0.04311335322950999,-0.022748588400858694,-0.025764088169717425
373408.09999990463,3509422.5774879497,779163.450098149,5250981.801518404,0.010736030741792598,-0.029510905533143728,-0.01215675063496846
373408.2000000477,3509422.6143015423,779163.4844297348,5250981.9217499625,0.023672323792504987,-0.006490908466616929,-0.03749852476942017
373408.2999999523,3509422.6797490153,779163.5602432503,5250982.025574479,0.01298467587599557,0.009931969123563533,0.014768664514676288
373408.40000009537,3509422.6435791706,779163.4501683676,5250981.859352683,0.012241999634187564,0.005941807128024834,0.03914708545866752
373408.5,3509422.5622552503,779163.3417444213,5250981.670979375,-0.005758137690155561,-0.016409499779136638,-0.05568588059160007
373408.59999990463,3509422.592396597,779163.2752183927,5250981.647299728,-0.00733242196082929,-0.010384560874179272,-0.05212953131230158
373408.7000000477,3509422.678642466,779163.27406683,5250981.633621761,0.02032502862326251,0.010798854338638364,0.03357844921279529
373408.7999999523,3509422.790957527,779163.2862477521,5250981.785634957,0.02399287271191019,-0.011437413476613756,0.022929774077100618
373408.90000009537,3509422.8861280293,779163.254070498,5250981.815384205,-0.007526728193963507,-0.012472688286322864,-0.022825013789447013
373409.0,3509422.9519330217,779163.2700965719,5250981.8980770735,-0.016925952939422874,0.013732984410964377,0.015333008991619934
373409.09999990463,3509422.932170221,779163.1987964982,5250981.693809591,-0.014179398848588555,0.0017261923629732223,0.01051545197638859
373409.2000000477,3509422.8694739165,779163.1128440432,5250981.492482404,-0.014531425655748055,-0.014252278037737653,-0.047088472468596265
373409.2999999523,3509422.8397939517,779163.1402541876,5250981.378073617,0.01254323715435512,-0.0006464529322300905,-0.03856685294396911
373409.40000009537,3509422.9348189104,779163.1500993507,5250981.508289461,0.02953034395772869,0.012358801567671662,0.010087620112862794
373409.5,3509422.9448550916,779163.1405085964,5250981.514249374,0.004013401862592244,-0.0012039981504301522,0.017862191038224395
373409.59999990463,3509423.0185998897,779163.1516963663,5250981.448827253,-0.01608259453955546,0.006055136379941928,-0.012725320510243776
373409.7000000477,3509423.035854974,779163.0951771042,5250981.36924232,-0.019614402477406177,0.0018751718675744655,-0.033074833954781724
373409.7999999523,3509423.0171183576,779162.9770225316,5250981.288001811,-0.014109750653344707,-0.02099913725224667,-0.01142896809988514
373409.90000009537,3509423.0007064226,779163.0104981039,5250981.290467538,0.013910922386072787,0.005116322913892191,0.032684723250113734
373410.0,3509423.124021699,779163.1024452667,5250981.393291239,0.013365129854019156,0.0013306662408893999,-0.023954119597677348
373410.09999990463,3509423.109468494,779163.0712139917,5250981.334765986,-0.009048577102038992,-0.014417432327562096,-0.027419384345288123
373410.2000000477,3509423.0642988165,779162.9767032866,5250981.301126435,-0.004724452106127916,0.03727618367013008,0.03537605111896802
373410.2999999523,3509422.9896098287,779162.9332347851,5250981.02538947,0.002788508943524486,0.011399947706728142,0.010884957747297364
373410.40000009537,3509423.020157554,779162.8626133492,5250981.054515477,0.026237726279669436,-0.03508846508044172,-0.021558142905615085
373410.5,3509423.0262826476,779162.8635955564,5250981.063694811,0.03225688455394722,-0.004008231403823004,-0.02018285212633053
373410.59999990463,3509422.992952899,779162.7810753909,5250980.975347437,-0.004251511242835622,-0.010715079736733912,-0.008355880575511065
373410.7000000477,3509423.0060331877,779162.8102167271,5250981.092743004,-0.03696808237856236,-0.013644499913517905,-0.026328750353460606
373410.7999999523,3509422.953664915,779162.8410405563,5250981.1418721825,0.005839368207568835,0.0027520581396416333,-0.02633352327368499
373410.90000009537,3509422.9556609015,779162.7788574025,5250981.008269132,0.053537566490911834,0.005185945111350065,0.005544483416636936
373411.0,3509422.958097062,779162.7658815011,5250981.011427527,0.0035831732196966778,0.006700706289500147,0.012680665426756832
373411.09999990463,3509422.94923521,779162.7767714964,5250980.967329651,-0.007209258956628989,-0.006782416645087608,-0.021091246155100052
373411.2000000477,3509422.9760570964,779162.7144244049,5250981.0794506585,0.014053746913422644,0.002701211724890129,-0.01997541711057238
373411.2999999523,3509422.879052,779162.703445489,5250980.931229492,-0.021088948505456468,-0.005095175586163236,-0.010514143786245711
373411.40000009537,3509422.96433278,779162.7782868459,5250981.028805092,-0.020795310116991986,-0.02531468785360147,-0.031537862394667826
373411.5,3509422.9652327583,779162.653961746,5250980.9294845825,0.011828891976636814,0.0027829156648024878,0.00888854857499588
373411.59999990463,3509423.063105003,779162.6753980218,5250980.937055407,0.010653182137578418,0.017753302027308848,0.024873302739420566
373411.7000000477,3509423.136965854,779162.6675821175,5250980.907725912,-0.03094011538553365,-0.007434828665019211,-0.03258137644098191
373411.7999999523,3509423.1828008117,779162.7101766458,5250980.9169625705,-0.030661174521015824,-0.0017422550585379781,-0.021084058218622914
373411.90000009537,3509423.117069656,779162.614312865,5250980.7875500675,-0.009653000364243965,0.003413780559107238,0.007341155800656196
373412.0,3509423.1086505675,779162.6294784091,5250980.668747633,-0.003561244408882778,-0.017673128415886197,-0.018122543145107528
373412.09999990463,3509423.1321028247,779162.6303987493,5250980.62834606,5.6966940431694964e-05,0.03501889653876589,-0.014782649379148083
373412.2000000477,3509423.1598049453,779162.6808710715,5250980.54630197,-0.028150625462926494,0.03999009713024293,-0.017611559859139092
373412.2999999523,3509423.0868300023,779162.5454557629,5250980.476678324,-0.01803511115700288,-0.008836106359602525,-0.0027157439871317024
373412.40000009537,3509423.034479947,779162.523916076,5250980.459813511,-0.021070664120422807,-0.0019288303384712435,-0.005178304258709687
373412.5,3509423.0563813313,779162.5481826768,5250980.58146724,-0.03770872589585369,0.006642397903064534,-0.08317940021070136
373412.59999990463,3509423.1348971785,779162.5610735301,5250980.6758190915,0.010347211769973148,0.029490603470982535,-0.027323179536946185
373412.7000000477,3509423.040747032,779162.5094717942,5250980.428669228,0.0661138204603784,0.01994979123109175,0.08259669016278881
373412.7999999523,3509422.926168623,779162.45449931,5250980.188954324,0.06532514825279412,-0.03801971096325474,0.008293369113664184
373412.90000009537,3509422.931218753,779162.4704297495,5250980.114023479,0.043407488121009856,-0.04433799240758418,-0.033666110514589676
373413.0,3509422.9570787004,779162.5182804345,5250980.09030338,-0.009717579903291909,0.017528383325149832,0.010991364389166591
373413.09999990463,3509422.874254813,779162.4783293164,5250979.93963022,-0.0674188739770455,0.03934715039615355,-0.013861214219078377
373413.2000000477,3509422.7409301274,779162.4515486901,5250979.822969249,-0.03364799435718431,0.014262034596107753,-0.07042105891439654
373413.2999999523,3509422.7116191196,779162.4381005557,5250979.64461928,0.008588956702531278,0.012050766705598903,-0.03272682802272264
373413.40000009537,3509422.6684086025,779162.4326048477,5250979.530745704,0.01796793866043528,-0.006732808853449512,0.04283257157026732
373413.5,3509422.6079789144,779162.4189967323,5250979.521784761,0.02165446869772269,-0.023116426434633297,0.01642630942169454
373413.59999990463,3509422.561981233,779162.4794416457,5250979.452455441,0.011602959928745646,-0.00847733864362965,-0.00974880807953582
373413.7000000477,3509422.4568358613,779162.4782672388,5250979.20214208,0.0018353999600608344,0.010808989793829937,-0.0026955595600295368
373413.7999999523,3509422.4401599057,779162.5435014184,5250979.370029732,0.0014303673941021423,0.01935527537936821,-0.03432300677269495
373413.90000009537,3509422.4483551336,779162.6281012583,5250979.417035228,-0.010258565183817948,0.00044030998640209873,0.013793862747750296
373414.0,3509422.4104493256,779162.6040163485,5250979.278347982,-0.005957245189950257,-0.014334181763139497,0.0810052872178133
373414.09999990463,3509422.3866831427,779162.6214702574,5250979.179091163,0.033519932442237305,-0.025255832865752836,-0.010619098953789319
373414.2000000477,3509422.502078355,779162.6151315107,5250979.267946033,0.04588905761865522,-0.025951171788705096,-0.0797710979784032
373414.2999999523,3509422.5284157726,779162.6491932054,5250979.404441801,-0.015095189828535086,-0.03554023771682324,-0.07252299874393486
373414.40000009537,3509422.4615583355,779162.6621324816,5250979.432974979,-0.045035906984408194,-0.016366629607908578,-0.05744596277616054
373414.5,3509422.343816546,779162.6710339355,5250979.3970430065,0.010270918531268968,0.0212657502599356,-0.021810515613498893
373414.59999990463,3509422.162218316,779162.7602487731,5250979.239521533,0.04899502296960047,0.024818247600329357,0.03427163937850075
373414.7000000477,3509422.104874497,779162.8161994407,5250979.279845566,0.028159477964565367,-0.001100861024795563,0.07966073975961052
373414.7999999523,3509422.119951539,779162.8315318874,5250979.320970714,-0.04753733352804061,-0.0038564428446221655,0.40569855087935913
373414.90000009537,3509422.018159959,779162.7803088945,5250979.08956391,-0.09618347554253077,0.015404995017838985,0.3991970069665953
373415.0,3509422.08567309,779162.8786084646,5250978.955520399,-0.05621444371204967,-0.022668579650272136,-0.14051719702260002
373415.09999990463,3509422.079873545,779162.8024111171,5250978.696800801,0.04498326914800374,-0.004653205898044632,-0.17535707162598158
373415.2000000477,3509422.0055920733,779162.8466586376,5250978.639286051,0.08295405906498157,0.06908474821776878,0.12475123292416512
373415.2999999523,3509421.9378719265,779162.8710279912,5250978.34192215,-0.07311111414193316,0.03173923233639897,0.10554818188060722
373415.40000009537,3509421.686130246,779163.10716986,5250980.789904442,-0.13866890033372795,-0.023908331316590647,-0.006937558631218366
373415.5,3509422.011256018,779163.0083981887,5250978.731056785,-0.02199175765265322,0.025100473921057187,0.07194590796009948
373415.59999990463,3509421.836957534,779162.944964783,5250978.791908787,0.03100675845469429,0.036665625179082895,0.039451178702121226
373415.7000000477,3509421.8401746023,779162.8042430036,5250978.631716142,0.06444101051982441,-0.03859505980921796,-0.0630459458225765
373415.7999999523,3509421.7758552385,779162.778399939,5250978.610069469,-0.01645815929001421,-0.06409043173675144,0.03670158375616239
373415.90000009537,3509421.4962548716,779163.0543755997,5250979.984510833,-0.01086119450387159,-0.07529524550731992,-0.17426084210255155
373416.0,3509421.646260512,779163.0368743046,5250980.229762735,0.1405014149419453,0.0011742617853158777,-0.07553827372158928
373416.09999990463,3509419.2139756894,779164.0901130886,5250985.318191101,0.05358114457808146,0.08034214576131404,0.1943749616423034
373416.2000000477,3509421.1314519374,779163.2054389077,5250981.093616925,0.07947751155387568,-0.10404326322736779,-0.4041529912260451
373416.2999999523,3509421.0515386243,779163.2614951388,5250981.271126228,0.031809466760772065,-0.055133558521347936,-0.28491384634396866
373416.40000009537,3509421.0158191747,779163.2578814415,5250981.279281982,-0.015910901072787653,0.08072337875719171,0.1684659486846911
373416.5,3509420.9887084626,779163.2663646515,5250981.335350755,0.006403173185725713,-0.01782797888935761,-0.03601420314835302
373416.59999990463,3509421.052682161,779163.2606424257,5250981.33171972,0.12075540856842176,-0.08435679711815425,-0.3240132648098246
373416.7000000477,3509421.076153394,779163.2882000593,5250981.14683829,0.20074181023530033,-0.0533674706194347,-0.38676232913573116
373416.7999999523,3509419.4077282725,779163.914421967,5250984.670132879,-0.017287051105368587,0.02524651749093465,0.024580433740837293
373416.90000009537,3509419.317903505,779163.8753140845,5250984.664404685,-0.03356052066403301,-0.009026400998521922,0.010543667789402633
