GPSTime,X,Y,Z
373098.0,3509426.4468491958,779142.8471097666,5250998.314211299
373098.09999990463,3509426.492481308,779142.8561535139,5250998.339520598
373098.2000000477,3509426.519928885,779142.8827846985,5250998.384668678
373098.2999999523,3509426.577157791,779142.9266486298,5250998.420695589
373098.40000009537,3509426.571803419,779142.9924701753,5250998.404240981
373098.5,3509426.5462185717,779143.0146829514,5250998.382730568
373098.59999990463,3509426.4955178923,779143.0723073732,5250998.383315572
373098.7000000477,3509426.5105049885,779143.1393360983,5250998.395062235
373098.7999999523,3509426.521063025,779143.1574198441,5250998.373412529
373098.90000009537,3509426.5648543886,779143.199301712,5250998.319094021
373099.0,3509426.6032614005,779143.2777461314,5250998.377090752
373099.09999990463,3509426.6089683697,779143.3944404558,5250998.463019482
373099.2000000477,3509426.6478501987,779143.4709704506,5250998.530035007
373099.2999999523,3509426.658030412,779143.5060366968,5250998.525395776
373099.40000009537,3509426.629016972,779143.5100791937,5250998.410648877
373099.5,3509426.6589268306,779143.5532582334,5250998.394450255
373099.59999990463,3509426.6010104697,779143.5796427407,5250998.362226227
373099.7000000477,3509426.5383134224,779143.5988335803,5250998.236918066
373099.7999999523,3509426.4747568606,779143.605945326,5250998.066088693
373099.90000009537,3509426.4164335025,779143.5998249919,5250997.8435241245
373100.0,3509426.3830696517,779143.5937502851,5250997.713474523
373100.09999990463,3509426.3857625686,779143.6067977706,5250997.635946515
373100.2000000477,3509426.3589086295,779143.6382758078,5250997.613404994
373100.2999999523,3509426.3504105853,779143.6742779929,5250997.586900678
373100.40000009537,3509426.3557053907,779143.7044623808,5250997.505600519
373100.5,3509426.3377123894,779143.7232549924,5250997.383130995
373100.59999990463,3509426.300383457,779143.7212046325,5250997.279450357
373100.7000000477,3509426.35545182,779143.7646707926,5250997.277587668
373100.7999999523,3509426.391030429,779143.8418424879,5250997.334850728
373100.90000009537,3509426.3629728323,779143.8328871632,5250997.332525724
373101.0,3509426.32730933,779143.8482227394,5250997.26847933
373101.09999990463,3509426.3196773916,779143.8946337627,5250997.243275781
373101.2000000477,3509426.349681019,779143.8857705172,5250997.27008103
373101.2999999523,3509426.3597225086,779143.871822371,5250997.154041988
373101.40000009537,3509426.3538056477,779143.8605267806,5250997.105718521
373101.5,3509426.39475817,779143.8877056118,5250997.119652619
373101.59999990463,3509426.3386858725,779143.9024677195,5250997.2063928265
373101.7000000477,3509426.3322439846,779143.9196522216,5250997.2633199105
373101.7999999523,3509426.3403802086,779143.9068833041,5250997.219399901
373101.90000009537,3509426.4288832163,779143.9578263785,5250997.264639173
373102.0,3509426.459035966,779143.9349425228,5250997.331106064
373102.09999990463,3509426.40605771,779143.9518293462,5250997.378839789
373102.2000000477,3509426.3570641195,779143.9213372214,5250997.28508133
373102.2999999523,3509426.4339725203,779143.9135356937,5250997.337855272
373102.40000009537,3509426.3775625173,779143.9338812632,5250997.346654823
373102.5,3509426.3594919816,779143.919032708,5250997.267618639
373102.59999990463,3509426.3085292038,779143.8975586053,5250997.274195638
373102.7000000477,3509426.310768289,779143.8886658121,5250997.243238466
373102.7999999523,3509426.311288663,779143.887852651,5250997.266872556
373102.90000009537,3509426.310798914,779143.8978041991,5250997.2550086435
373103.0,3509426.2521641566,779143.879136414,5250997.259705226
373103.09999990463,3509426.283605053,779143.8961030485,5250997.376461633
373103.2000000477,3509426.278934176,779143.87044469,5250997.3830362
373103.2999999523,3509426.275586333,779143.843043583,5250997.313186538
373103.40000009537,3509426.364969325,779143.8565997608,5250997.389351335
373103.5,3509426.3868151205,779143.8952597777,5250997.420591451
373103.59999990463,3509426.295778043,779143.8814338269,5250997.425884685
373103.7000000477,3509426.359761519,779143.8860965607,5250997.479619588
373103.7999999523,3509426.427244787,779143.9125449944,5250997.490846118
373103.90000009537,3509426.514586649,779143.9140193476,5250997.452994739
373104.0,3509426.5337514714,779143.9273095625,5250997.434702573
373104.09999990463,3509426.563366237,779143.921446647,5250997.560284518
373104.2000000477,3509426.4848688086,779143.9075077473,5250997.609875684
373104.2999999523,3509426.438048857,779143.919392552,5250997.570494741
373104.40000009537,3509426.4305878393,779143.9046904461,5250997.547669382
373104.5,3509426.4705121308,779143.8929159947,5250997.506287339
373104.59999990463,3509426.512853234,779143.8649750993,5250997.481666193
373104.7000000477,3509426.469409416,779143.8501773018,5250997.435956685
373104.7999999523,3509426.4200524096,779143.8346228077,5250997.385295144
373104.90000009537,3509426.466617875,779143.8486856798,5250997.377261532
373105.0,3509426.4898309503,779143.8336221268,5250997.359805693
373105.09999990463,3509426.4993153093,779143.812844301,5250997.407919273
373105.2000000477,3509426.3993771835,779143.7724562516,5250997.256544309
373105.2999999523,3509426.334392955,779143.7868924228,5250997.259856814
373105.40000009537,3509426.3818697063,779143.7998792335,5250997.274565034
373105.5,3509426.4464578987,779143.7994448941,5250997.293138044
373105.59999990463,3509426.495435963,779143.7840189271,5250997.329769165
373105.7000000477,3509426.5726193236,779143.7611735697,5250997.2997459825
373105.7999999523,3509426.5730279274,779143.7525304672,5250997.294992578
373105.90000009537,3509426.6224113186,779143.7072088384,5250997.247984096
373106.0,3509426.704710862,779143.7389438048,5250997.233662834
373106.09999990463,3509426.7373414324,779143.7200678441,5250997.185328727
373106.2000000477,3509426.753716432,779143.7473972085,5250997.279288028
373106.2999999523,3509426.7834328595,779143.6960558061,5250997.223241821
373106.40000009537,3509426.744476417,779143.6489584048,5250997.242703539
373106.5,3509426.6554583125,779143.605637243,5250997.162203959
373106.59999990463,3509426.653352211,779143.648862456,5250997.227080288
373106.7000000477,3509426.688074193,779143.6390785481,5250997.180865494
373106.7999999523,3509426.6741098813,779143.6717808038,5250997.33094621
373106.90000009537,3509426.742499171,779143.6812144768,5250997.3626740305
373107.0,3509426.756428523,779143.6710774553,5250997.367881997
373107.09999990463,3509426.7812653095,779143.6610877113,5250997.406881858
373107.2000000477,3509426.77518624,779143.6439495133,5250997.472070136
373107.2999999523,3509426.7647435116,779143.6608182081,5250997.568714089
373107.40000009537,3509426.7366315634,779143.6334556284,5250997.534408041
373107.5,3509426.7700297358,779143.656272015,5250997.535771231
373107.59999990463,3509426.819295021,779143.6234607957,5250997.547438811
373107.7000000477,3509426.8480132176,779143.6790095755,5250997.650666579
373107.7999999523,3509426.9037563796,779143.6718698136,5250997.629363827
373107.90000009537,3509426.902585162,779143.6734065771,5250997.621783015
373108.0,3509426.980296649,779143.7358671976,5250997.744147723
373108.09999990463,3509427.022430038,779143.7419288394,5250997.821564768
373108.2000000477,3509427.0142433983,779143.7115573124,5250997.795785849
373108.2999999523,3509427.0393855325,779143.7223621997,5250997.830561468
373108.40000009537,3509427.0536921136,779143.7440439891,5250997.798503481
373108.5,3509427.114978141,779143.7294541324,5250997.799521243
373108.59999990463,3509427.167809242,779143.7245168854,5250997.763647558
373108.7000000477,3509427.152798456,779143.7586656049,5250997.898373859
373108.7999999523,3509427.193497305,779143.7421879568,5250997.9963424
373108.90000009537,3509427.1963985125,779143.7140120034,5250997.944145913
373109.0,3509427.208599457,779143.7590587297,5250997.962243683
373109.09999990463,3509427.129869219,779143.7817059213,5250997.940064169
373109.2000000477,3509427.13035992,779143.8104981574,5250997.999267104
373109.2999999523,3509427.186457241,779143.7784538391,5250997.9954242
373109.40000009537,3509427.182352614,779143.7497257673,5250997.983074737
373109.5,3509427.204780607,779143.7861241127,5250998.013364522
373109.59999990463,3509427.2057977,779143.8284025955,5250998.093983689
373109.7000000477,3509427.085325593,779143.783122563,5250997.944957026
373109.7999999523,3509427.1351480107,779143.7827195101,5250997.971927094
373109.90000009537,3509427.0489907707,779143.739171188,5250997.880420151
373110.0,3509427.0211595264,779143.7485606859,5250997.759719289
373110.09999990463,3509426.9216968887,779143.7100288238,5250997.641616837
373110.2000000477,3509427.0092363185,779143.693861134,5250997.688239164
373110.2999999523,3509426.9708327055,779143.7316489861,5250997.671599905
373110.40000009537,3509426.940239886,779143.7215415695,5250997.611890212
373110.5,3509426.9865159066,779143.759433808,5250997.704454972
373110.59999990463,3509426.996784412,779143.844589291,5250997.866511281
373110.7000000477,3509426.985057892,779143.8510354405,5250997.881748839
373110.7999999523,3509427.0507604727,779143.8611543371,5250997.882839386
373110.90000009537,3509427.0282675605,779143.8180841901,5250997.856208191
373111.0,3509427.0599232772,779143.827510422,5250997.900308893
373111.09999990463,3509427.1072960957,779143.8855187766,5250998.019089115
373111.2000000477,3509427.092447398,779143.9316780241,5250998.122774144
373111.2999999523,3509427.116825223,779143.9357156422,5250998.2090758905
373111.40000009537,3509427.118666898,779143.9023288225,5250998.182218948
373111.5,3509427.102404738,779143.932067559,5250998.177086241
373111.59999990463,3509427.000041884,779143.9397801716,5250998.210424568
373111.7000000477,3509426.9934774204,779143.9172769192,5250998.275264593
373111.7999999523,3509426.959945683,779143.9076952143,5250998.263795097
373111.90000009537,3509426.976719972,779143.9052951785,5250998.2120810505
373112.0,3509427.0368408533,779143.9568637216,5250998.233380827
373112.09999990463,3509427.1048496417,779143.9596364695,5250998.109924413
373112.2000000477,3509427.0444448297,779143.9137423051,5250998.0321915215
373112.2999999523,3509427.0481921816,779143.8819135085,5250998.148594196
373112.40000009537,3509427.047040832,779143.893567316,5250998.123669253
373112.5,3509426.991108916,779143.9192784046,5250998.226759781
373112.59999990463,3509426.989220449,779143.935731223,5250998.265963072
373112.7000000477,3509426.9228320606,779143.9778433118,5250998.214091107
