GPSTime,X-ECEF,Y-ECEF,Z-ECEF,VX-ECEF,VY-ECEF,VZ-ECEF,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,gnss_used,gnss_outage
373097.11,3509419.8309399043,779142.619970147,5250976.207080053,-0.006019088792615514,-0.002970581470375686,0.008010505110047432,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.12,3509419.830878956,779142.6199409621,5250976.2071600305,-0.006170619630745784,-0.0028664194394057885,0.007985005066225693,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.13,3509419.8308172417,779142.6199124076,5250976.207240708,-0.006172244822594606,-0.0028444695702653537,0.008150573989547284,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.14,3509419.8307548095,779142.619884697,5250976.20732254,-0.006314228943363774,-0.002697650676177803,0.008215783784710346,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.14999999997,3509419.8306913944,779142.6198575333,5250976.207404618,-0.006368821567253999,-0.0027350970418217532,0.00819986731819931,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.16,3509419.830627164,779142.6198293939,5250976.207486994,-0.0064773103854221525,-0.0028927607974184233,0.00827516902290542,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.17,3509419.83056187,779142.6198005375,5250976.207569343,-0.006581465728601945,-0.002878538512390492,0.008194677096568766,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.18,3509419.830496235,779142.6197717886,5250976.207651395,-0.006545498252639113,-0.002871236785142201,0.008215758618644283,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.19,3509419.83043044,779142.6197432579,5250976.207733381,-0.006613455581424722,-0.00283490299762445,0.008181324587390433,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.2,3509419.8303639726,779142.6197148137,5250976.207814875,-0.006680061512842578,-0.002853946542005841,0.008117657380440216,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.20999999996,3509419.830297462,779142.6196866698,5250976.207896405,-0.006621990860442009,-0.0027748344195161127,0.008188299605510771,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.22,3509419.830230262,779142.6196594748,5250976.207977988,-0.0068179995289737285,-0.002664161233059511,0.00812837110281156,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.23,3509419.8301619072,779142.6196321626,5250976.208059483,-0.006852991990818654,-0.002798277260426814,0.008170669461170418,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.24,3509419.8300939077,779142.6196037615,5250976.208141455,-0.006746907173312821,-0.0028819479141269605,0.008223721702216245,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.25,3509419.830025537,779142.6195750391,5250976.208223266,-0.006927246838412843,-0.0028625241449180398,0.008138242315077576,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.26,3509419.8299563853,779142.6195462691,5250976.208305145,-0.0069030582356722995,-0.0028914843979667916,0.00823752727750132,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.26999999996,3509419.8298868444,779142.6195172825,5250976.208387426,-0.00700515416989888,-0.0029058435351667668,0.008218680880775563,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.27999999997,3509419.829816758,779142.6194882399,5250976.208470046,-0.007012045466751223,-0.002902684585531638,0.008305291595194254,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.29,3509419.8297459213,779142.6194592305,5250976.20855315,-0.007155337102160896,-0.0028991959631240617,0.00831569021515801,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.3,3509419.829673841,779142.619430009,5250976.2086361805,-0.007260665410129488,-0.002945081454793097,0.008290423265946574,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.31,3509419.8296019337,779142.6194005451,5250976.208719566,-0.007120821736335861,-0.002947687555273197,0.008386689375817716,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.32,3509419.829530545,779142.6193711839,5250976.208803283,-0.007156867795499526,-0.0029245642422194855,0.008356578488690597,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.33,3509419.8294584467,779142.6193421726,5250976.208886225,-0.00726278322041359,-0.0028776946312304673,0.00823174897405544,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.33999999997,3509419.829386086,779142.6193127008,5250976.208969573,-0.007209347811134776,-0.003016658424626894,0.008437758739551665,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.35,3509419.829313253,779142.6192825672,5250976.209054176,-0.0073573213717868504,-0.0030100710548384276,0.008482957959429731,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.36,3509419.8292389037,779142.6192523692,5250976.20913871,-0.0075125402721352395,-0.003029526746670824,0.008423945644111096,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.37,3509419.8291635336,779142.6192218234,5250976.209223106,-0.007561451461587753,-0.0030796227911198525,0.008455065617926007,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
373097.38,3509419.8290880313,779142.6191909902,5250976.209307799,-0.00753903059724645,-0.0030870079915662103,0.008483694217041917,-0.0004947505059290647,2.2589191117215746e-05,0.007092720144765252,0.0013936499439139432,0.0014425089288679898,0.004568353807611863,False,False
